Time,X,Y,Z,Phi,Theta,Psi,U,V,W,P,Q,R,Speed,Beta_c,Alpha_c,Chi,delta_r,delta_s,n_prop
33.84,69.54444500981502,22.42287047914664,13.862717679229698,1.3708298981164937,-8.584984631441184,33.23794063437129,2.3432684427354804,0.251147627592819,-0.0077303907315576,0.1171366580851198,0.2205963915228487,0.8473061563274094,2.356701483961498,6.117513641764374,-0.1890168228440146,39.35545427613567,0.0114321272389078,0.03095866934032,1525.0
33.86,69.58045323423336,22.452479298821046,13.86967983447412,1.3705979471157617,-8.580981557076862,33.25516650828629,2.3433217423857937,0.2512938130829406,-0.0077276107958078,0.1169731148312277,0.2204704792593254,0.8466112999272394,2.3567700534418643,6.120909270321278,-0.188944553079514,39.37607577860757,0.0114205315165709,0.0309456401374419,1525.0
33.88,69.6164522289171,22.482102219798097,13.876639014504622,1.370366053372596,-8.576980596943645,33.272378076000045,2.3433750109320157,0.2514398844516696,-0.0077248312749538,0.1168097464136096,0.2203446673225877,0.8459165986685857,2.3568385881031224,6.124302023403375,-0.1888722992529766,39.39668009940342,0.0114089409117032,0.0309326165580472,1525.0
33.9,69.6524419964152,22.511739227735564,13.883595220679062,1.370134217237978,-8.572981749245182,33.289575341223916,2.3434282483442264,0.2515858417306669,-0.0077220521714116,0.1166465528006176,0.2202189554669247,0.8452220536864148,2.3569070878986205,6.127691902266806,-0.1888000614219575,39.41726724349075,0.011397355443174,0.0309195985976258,1525.0
33.92,69.68842253928798,22.541390308299437,13.890548454354096,1.3699024390617682,-8.568985012190668,33.30675830769131,2.3434814545926472,0.2517316849518234,-0.0077192734875855,0.1164835339600695,0.2200933434478524,0.8445276661121474,2.3569755527818974,6.131078908172697,-0.1887278396436304,39.437837215864,0.0113857751297773,0.0309065862516823,1525.0
33.94,69.72439386010703,22.571055447163907,13.897498716885186,1.3696707191926571,-8.56499038399469,33.323926979157484,2.3435346296476416,0.2518774141472591,-0.0077164952258683,0.1163206898592537,0.2199678310221092,0.8438334370736658,2.3570439827066845,6.134463042387089,-0.18865563397494,39.4583900215446,0.011374199990229,0.030893579515732,1525.0
33.96,69.76035596145519,22.600734630011395,13.904446009626598,1.3694390579783178,-8.560997862877208,33.34108135939957,2.3435877734797135,0.2520230293493221,-0.0077137173886408,0.1161580204649284,0.2198424179476518,0.8431393676953196,2.357112377626905,6.137844306181083,-0.1885834444724747,39.478925665580675,0.0113626300431666,0.0308805783853091,1525.0
33.980000000000004,69.79630884592656,22.630427842532576,13.911390333931417,1.3692074557652525,-8.557007447063574,33.358221452216426,2.343640886059508,0.2521685305905878,-0.0077109399782723,0.115995525743324,0.2197171039836552,0.8424454590979327,2.3571807374966736,6.141222700830666,-0.1885112711925431,39.499444153047094,0.011351065307154,0.0308675828559646,1525.0
34.0,69.83225251612643,22.6601350704264,13.918331691151542,1.3689759128988694,-8.553019134784535,33.37534726142863,2.343693967357811,0.2523139179038577,-0.0077081629971206,0.1158332056601463,0.2195918888905083,0.841751712398808,2.357249062270294,6.1445982276166635,-0.1884391141911229,39.51994548904529,0.0113395058006782,0.0308545929232596,1525.0
34.02,69.86818697467126,22.68985629940009,13.9252700826377,1.3687444297235083,-8.549032924276053,33.392458790878365,2.3437470173455495,0.2524591913221587,-0.0077053864475314,0.1156710601805756,0.2194667724298085,0.8410581287117349,2.3573173519022643,6.147970887824855,-0.188366973523912,39.54042967870322,0.0113279515421481,0.0308416085827714,1525.0
